Réf. Part.;Type partenaire;Code EPJ;RS EPJ;Adresse EPJ;Forçage;Motif forçage;Date forçage;Client;Statut;Taux;Code département;Denom part.;Adresse part.;CP part.;Ville part.;Blacklistage;Motif blacklistage;Date blacklistage
EG0425050;;50059639;"Optical Center";"2458 rte Nationale 20 45770 SARAN";;;;53550706;Annonceur Module;Taux 2;045;"Optical Center - ORLÉANS - SARAN";"ZAC Cap Saran  2458 Route Nationale 20";45770;"SARAN";;;
EG0425051;;52915960;"Optical Center";"175   rte Marseille 26200 Montélimar";;;;09324735;Annonceur Module;Taux 2;026;"Optical Center - MONTÉLIMAR";"175 Route de Marseille";26200;"Montélimar";;;
EG0425052;;59184922;"Audioprothésiste MULHOUSE-KINGERSHEIM Optical Center";"169 r Richwiller 68260 Kingersheim";;;;53550706;Annonceur Module;Taux 2;068;"Optical Center - MULHOUSE - KINGERSHEIM";"169 Rue de Richwiller";68260;"KINGERSHEIM";;;
EG0425053;;08286531;"Optical Center";"2 r Raynardi 06000 Nice";;;;09324735;Annonceur Module;Taux 2;006;"Optical Center - NICE";"2 Rue Raynardi";06000;"NICE";;;
EG0425054;;50479496;"Optical Center";"141 r Paris 89000 AUXERRE";;;;09324735;Annonceur Module;Taux 2;089;"Optical Center - AUXERRE";"141 Rue de Paris";89000;"AUXERRE";;;
EG0425055;;50052819;"Optical Center";"715 r Belle Eau 73000 Chambéry";;;;09324735;Annonceur Module;Taux 2;073;"Optical Center - CHAMBÉRY - LES LANDIERS";"715 Rue de Belle Eau";73000;"CHAMBÉRY";;;
EG0425056;;50598591;"Optical Center";"rte Nationale 20 91150 MORIGNY CHAMPIGNY";;;;09324735;Annonceur Module;Taux 2;091;"Optical Center - ÉTAMPES - MORIGNY";"ZI les Rochettes";91150;"Morigny-Champigny";;;
EG0425057;;52915949;"Optical Center";"41 bis rte Toulouse 81100 CASTRES";;;;09324735;Annonceur Module;Taux 2;081;"Optical Center - CASTRES";"41 Route de Toulouse";81100;"CASTRES";;;
EG0425058;;52773254;"Optical Center";"48 r Mandallaz 74330 Epagny Metz Tessy";;;;09324735;Annonceur Module;Taux 2;074;"Optical Center - GRAND ÉPAGNY";"48 Rue de la Mandallaz";74330;"ÉPAGNY";;;
EG0425059;;52915900;"Optical Center PERIGUEUX";"4 r Prés Wilson 24000 Périgueux";;;;53550706;Annonceur Module;Taux 2;024;"Optical Center - PÉRIGUEUX";"4 Rue du Président Wilson";24000;"PERIGUEUX";;;
EG0425060;;50875866;"Optical Center Dieppe";"av Canadiens 76200 DIEPPE";;;;09324735;Annonceur Module;Taux 2;076;"Optical Center - DIEPPE";"Avenue des Canadiens";76200;"DIEPPE";;;
EG0425061;;52221439;"Optical Center";"r Sorel Tracy 49300 CHOLET";;;;09324735;Annonceur Module;Taux 2;049;"Optical Center - CHOLET";"Rue Sorel Tracy";49300;"CHOLET";;;
EG0425062;;53608413;"Optical Center";"  ccal Auchan 78200 Buchelay";;;;09324735;Annonceur Module;Taux 2;078;"Optical Center - MANTES - BUCHELAY";"Centre Commercial Auchan";78200;"Buchelay";;;
EG0425063;;52915938;"Optical Center";"199 bd Westphalie 76360 BARENTIN";;;;09324735;Annonceur Module;Taux 2;076;"Optical Center - ROUEN - BARENTIN";"199 Boulevard de Westphalie";76360;"BARENTIN";;;
EG0425064;;51265447;"Optical Center";"  av 11 Novembre 86000 Poitiers";;;;09324735;Annonceur Module;Taux 2;086;"Optical Center - POITIERS - GRAND-LARGE";"Avenue du 11 Novembre";86000;"POITIERS";;;
